
;NB_triplets
Nb triplets;109234

;NB_o
Nb "o";26922

;NB_s
Nb "s";18597

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q1894039";28
Distribution of linked "o";"Q946297";28
Distribution of linked "o";"Q2663472";28
Distribution of linked "o";"Q605055";28
Distribution of linked "o";"Q1754506";28
Distribution of linked "o";"Q29108";28
Distribution of linked "o";"Q2553450";28
Distribution of linked "o";"Q1052219";28
Distribution of linked "o";"Q287804";28
Distribution of linked "o";"19610101";27
Distribution of linked "o";"Q202093";27
Distribution of linked "o";"Q179075";27
Distribution of linked "o";"Q191595";27
Distribution of linked "o";"Q192071";27
Distribution of linked "o";"Q190943";27
Distribution of linked "o";"18980101";27
Distribution of linked "o";"Q1738143";27
Distribution of linked "o";"Q953632";27
Distribution of linked "o";"Q285131";27
Distribution of linked "o";"18860101";27
Distribution of linked "o";"Q219235";27
Distribution of linked "o";"Q597992";27
Distribution of linked "o";"Q748725";27
Distribution of linked "o";"19020101";27
Distribution of linked "o";"Q734785";27
Distribution of linked "o";"Q188568";27
Distribution of linked "o";"Q209895";27
Distribution of linked "o";"Q3658577";27
Distribution of linked "o";"Q266962";27
Distribution of linked "o";"Q2476133";27
Distribution of linked "o";"Q2129100";27
Distribution of linked "o";"Q3873500";27
Distribution of linked "o";"Q1387417";27
Distribution of linked "o";"Q298217";27
Distribution of linked "o";"19040101";26
Distribution of linked "o";"Q702455";26
Distribution of linked "o";"Q3632340";26
Distribution of linked "o";"Q126334";26
Distribution of linked "o";"19740101";26
Distribution of linked "o";"Q8408";26
Distribution of linked "o";"Q6703";26
Distribution of linked "o";"Q503317";26
Distribution of linked "o";"Q318698";26
Distribution of linked "o";"Q260559";26
Distribution of linked "o";"Q1320554";26
Distribution of linked "o";"Q172020";26
Distribution of linked "o";"Q762353";26
Distribution of linked "o";"Q187326";26
Distribution of linked "o";"Q4825450";26
Distribution of linked "o";"Q823384";26
Distribution of linked "o";"Q982889";26
Distribution of linked "o";"Q604589";26
Distribution of linked "o";"Q3551886";26
Distribution of linked "o";"Q645229";26
Distribution of linked "o";"Q186276";26
Distribution of linked "o";"19240101";26
Distribution of linked "o";"19000101";26
Distribution of linked "o";"Q857048";26
Distribution of linked "o";"19570101";26
Distribution of linked "o";"Q1202758";26
Distribution of linked "o";"Q1045524";26
Distribution of linked "o";"Q201006";26
Distribution of linked "o";"Q157020";26
Distribution of linked "o";"Q286490";26
