
;NB_triplets
Nb triplets;194420

;NB_o
Nb "o";31538

;NB_s
Nb "s";22890

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"15000101";62
Distribution of linked "o";"Q2661022";62
Distribution of linked "o";"Q196107";62
Distribution of linked "o";"Q131215";62
Distribution of linked "o";"Q323815";62
Distribution of linked "o";"Q29390";62
Distribution of linked "o";"Q768253";62
Distribution of linked "o";"Q3873545";62
Distribution of linked "o";"Q1894039";62
Distribution of linked "o";"Q245162";62
Distribution of linked "o";"Q385074";62
Distribution of linked "o";"Q183468";62
Distribution of linked "o";"Q44441";62
Distribution of linked "o";"Q574298";62
Distribution of linked "o";"Q2332493";62
Distribution of linked "o";"Q48947";62
Distribution of linked "o";"Q856179";62
Distribution of linked "o";"Q7232579";60
Distribution of linked "o";"19650101";60
Distribution of linked "o";"Q3590479";60
Distribution of linked "o";"Q8408";60
Distribution of linked "o";"Q12236";60
Distribution of linked "o";"Q270420";60
Distribution of linked "o";"Q982889";60
Distribution of linked "o";"Q189275";60
Distribution of linked "o";"Q479351";60
Distribution of linked "o";"Q170105";60
Distribution of linked "o";"Q770740";60
Distribution of linked "o";"Q327238";60
Distribution of linked "o";"Q666179";60
Distribution of linked "o";"Q5645566";60
Distribution of linked "o";"Q286409";60
Distribution of linked "o";"Q2756";60
Distribution of linked "o";"Q19512";58
Distribution of linked "o";"Q732002";58
Distribution of linked "o";"Q1156317";58
Distribution of linked "o";"Q268776";58
Distribution of linked "o";"Q211906";58
Distribution of linked "o";"Q155218";58
Distribution of linked "o";"Q352270";58
Distribution of linked "o";"Q180857";58
Distribution of linked "o";"Q328658";58
Distribution of linked "o";"Q24719";58
Distribution of linked "o";"Q2299795";58
Distribution of linked "o";"Q242260";58
Distribution of linked "o";"Q425690";58
Distribution of linked "o";"Q918214";58
Distribution of linked "o";"Q221525";56
Distribution of linked "o";"Q16845355";56
Distribution of linked "o";"19680101";56
Distribution of linked "o";"19530101";56
Distribution of linked "o";"Q180800";56
Distribution of linked "o";"Q665920";56
Distribution of linked "o";"Q2674";56
Distribution of linked "o";"Q192071";56
Distribution of linked "o";"Q151747";56
Distribution of linked "o";"Q179658";56
Distribution of linked "o";"Q9213751";56
Distribution of linked "o";"Q584316";56
Distribution of linked "o";"Q920294";56
Distribution of linked "o";"Q174512";56
Distribution of linked "o";"Q272712";56
Distribution of linked "o";"Q694464";56
Distribution of linked "o";"Q172221";56
Distribution of linked "o";"Q782658";56
Distribution of linked "o";"Q946297";56
Distribution of linked "o";"Q2663472";56
Distribution of linked "o";"Q492826";56
Distribution of linked "o";"Q605055";56
Distribution of linked "o";"Q1754506";56
Distribution of linked "o";"Q73965";56
Distribution of linked "o";"Q383358";56
Distribution of linked "o";"Q2553450";56
Distribution of linked "o";"Q19612";56
Distribution of linked "o";"Q287804";56
Distribution of linked "o";"Q3590572";56
Distribution of linked "o";"Q1641573";56
Distribution of linked "o";"Q209509";54
Distribution of linked "o";"19590101";54
Distribution of linked "o";"Q1513287";54
Distribution of linked "o";"Q838134";54
Distribution of linked "o";"Q3590754";54
Distribution of linked "o";"Q48879";54
Distribution of linked "o";"Q2346842";54
Distribution of linked "o";"Q657156";54
Distribution of linked "o";"19490101";54
Distribution of linked "o";"Q503317";54
Distribution of linked "o";"Q179075";54
Distribution of linked "o";"Q856619";54
Distribution of linked "o";"Q275626";54
Distribution of linked "o";"01000101";54
Distribution of linked "o";"Q19587";54
Distribution of linked "o";"Q603133";54
Distribution of linked "o";"Q170107";54
Distribution of linked "o";"Q429468";54
Distribution of linked "o";"Q208635";54
Distribution of linked "o";"Q266962";54
Distribution of linked "o";"Q2476133";54
Distribution of linked "o";"Q296050";54
Distribution of linked "o";"Q824450";54
Distribution of linked "o";"Q738876";54
Distribution of linked "o";"Q812720";54
Distribution of linked "o";"Q1387417";54
Distribution of linked "o";"Q2329137";54
Distribution of linked "o";"19550101";52
Distribution of linked "o";"Q19601";52
Distribution of linked "o";"19510101";52
Distribution of linked "o";"19670101";52
Distribution of linked "o";"Q270051";52
Distribution of linked "o";"Q476880";52
Distribution of linked "o";"Q24711";52
Distribution of linked "o";"Q175145";52
Distribution of linked "o";"Q159936";52
Distribution of linked "o";"19640101";52
Distribution of linked "o";"Q857048";52
Distribution of linked "o";"Q154053";52
Distribution of linked "o";"19410101";52
Distribution of linked "o";"Q639560";52
Distribution of linked "o";"Q503321";52
Distribution of linked "o";"Q999035";52
Distribution of linked "o";"Q757098";52
Distribution of linked "o";"Q482406";52
Distribution of linked "o";"Q4863629";52
Distribution of linked "o";"Q1812607";52
Distribution of linked "o";"Q754310";52
Distribution of linked "o";"Q48925";50
Distribution of linked "o";"Q202093";50
Distribution of linked "o";"Q3632340";50
Distribution of linked "o";"19620101";50
Distribution of linked "o";"19630101";50
Distribution of linked "o";"Q3873502";50
Distribution of linked "o";"Q1386850";50
Distribution of linked "o";"Q330148";50
Distribution of linked "o";"Q43477";50
Distribution of linked "o";"Q19487";50
Distribution of linked "o";"Q1389147";50
Distribution of linked "o";"19600101";50
Distribution of linked "o";"Q210864";50
Distribution of linked "o";"Q1045524";50
Distribution of linked "o";"Q335190";50
Distribution of linked "o";"Q209895";50
Distribution of linked "o";"Q633521";50
Distribution of linked "o";"Q309456";50
Distribution of linked "o";"Q12260";50
Distribution of linked "o";"Q472752";50
Distribution of linked "o";"Q650273";50
Distribution of linked "o";"Q1337348";50
Distribution of linked "o";"Q726066";50
Distribution of linked "o";"Q18509";50
Distribution of linked "o";"Q822021";48
Distribution of linked "o";"19420101";48
Distribution of linked "o";"Q18662";48
Distribution of linked "o";"Q276533";48
Distribution of linked "o";"Q385518";48
Distribution of linked "o";"Q302954";48
Distribution of linked "o";"Q1202764";48
Distribution of linked "o";"Q610621";48
Distribution of linked "o";"Q5187078";48
Distribution of linked "o";"Q1570132";48
Distribution of linked "o";"Q297858";48
Distribution of linked "o";"Q1580781";48
Distribution of linked "o";"Q666289";48
Distribution of linked "o";"Q576285";48
Distribution of linked "o";"Q1140533";48
Distribution of linked "o";"Q18521";48
Distribution of linked "o";"Q1059186";48
Distribution of linked "o";"Q2622870";48
Distribution of linked "o";"Q795173";48
Distribution of linked "o";"Q309095";48
Distribution of linked "o";"Q332858";48
Distribution of linked "o";"Q762294";48
Distribution of linked "o";"Q749589";46
Distribution of linked "o";"Q19578";46
Distribution of linked "o";"Q3590615";46
Distribution of linked "o";"Q914169";46
Distribution of linked "o";"Q206838";46
Distribution of linked "o";"Q187326";46
Distribution of linked "o";"19400101";46
Distribution of linked "o";"Q692586";46
Distribution of linked "o";"Q137499";46
Distribution of linked "o";"Q1807026";46
Distribution of linked "o";"19360101";46
Distribution of linked "o";"Q285131";46
Distribution of linked "o";"Q157020";46
Distribution of linked "o";"Q3589884";46
Distribution of linked "o";"Q5423714";46
Distribution of linked "o";"Q377953";46
Distribution of linked "o";"Q1051203";46
Distribution of linked "o";"Q172025";46
Distribution of linked "o";"Q16932";46
Distribution of linked "o";"Q3590363";46
Distribution of linked "o";"Q3590570";46
Distribution of linked "o";"Q378890";46
Distribution of linked "o";"Q19482";46
Distribution of linked "o";"Q4127955";44
Distribution of linked "o";"Q126334";44
Distribution of linked "o";"Q202660";44
Distribution of linked "o";"Q12217";44
Distribution of linked "o";"Q285722";44
Distribution of linked "o";"19520101";44
Distribution of linked "o";"Q8687";44
Distribution of linked "o";"Q182930";44
Distribution of linked "o";"Q738846";44
Distribution of linked "o";"Q737049";44
Distribution of linked "o";"19460101";44
Distribution of linked "o";"19540101";44
Distribution of linked "o";"Q162317";44
Distribution of linked "o";"Q3590360";44
Distribution of linked "o";"Q605756";44
