
;NB_triplets
Nb triplets;147611

;NB_o
Nb "o";41330

;NB_s
Nb "s";31610

;NB_p
nb "p";6

;ID;NAME;NB
Nb "p" links distribution;"P54";NULL;94482
Distribution of linked "o";"Q161034";44
Distribution of linked "o";"Q13416768";44
Distribution of linked "o";"Q694464";44
Distribution of linked "o";"Q693951";44
Distribution of linked "o";"Q1052219";43
Distribution of linked "o";"Q460448";43
Distribution of linked "o";"Q845137";43
Distribution of linked "o";"Q19637";43
Distribution of linked "o";"Q211401";43
Distribution of linked "o";"Q48947";43
Distribution of linked "o";"Q8687";43
Distribution of linked "o";"Q209619";43
Distribution of linked "o";"Q1140533";43
Distribution of linked "o";"Q19601";43
Distribution of linked "o";"Q157463";43
Distribution of linked "o";"Q170327";43
Distribution of linked "o";"Q918214";42
Distribution of linked "o";"Q482406";42
Distribution of linked "o";"Q732002";42
Distribution of linked "o";"Q138749";42
Distribution of linked "o";"Q824450";42
Distribution of linked "o";"Q1199965";42
Distribution of linked "o";"Q126334";42
Distribution of linked "o";"Q1198779";42
Distribution of linked "o";"Q3589895";42
Distribution of linked "o";"Q501693";42
Distribution of linked "o";"Q1024397";41
Distribution of linked "o";"Q748725";41
Distribution of linked "o";"19440101";41
Distribution of linked "o";"Q1323373";41
Distribution of linked "o";"Q248188";41
Distribution of linked "o";"Q2533263";41
Distribution of linked "o";"Q266962";41
Distribution of linked "o";"19530101";41
Distribution of linked "o";"Q12236";41
Distribution of linked "o";"Q1270129";41
Distribution of linked "o";"Q736937";41
Distribution of linked "o";"Q18526";41
Distribution of linked "o";"19450101";41
Distribution of linked "o";"Q223728";41
Distribution of linked "o";"Q210864";41
Distribution of linked "o";"Q428211";41
Distribution of linked "o";"Q760736";41
Distribution of linked "o";"Q208584";41
Distribution of linked "o";"Q3873545";41
Distribution of linked "o";"Q3658577";40
Distribution of linked "o";"Q9653";40
Distribution of linked "o";"Q172221";40
Distribution of linked "o";"Q205998";40
Distribution of linked "o";"Q498536";40
Distribution of linked "o";"Q7232579";40
Distribution of linked "o";"Q372599";40
Distribution of linked "o";"Q52942";40
Distribution of linked "o";"Q296050";40
Distribution of linked "o";"Q107421";40
Distribution of linked "o";"Q3590639";40
Distribution of linked "o";"Q5029522";40
Distribution of linked "o";"Q2306719";40
Distribution of linked "o";"Q920263";40
Distribution of linked "o";"Q370712";40
Distribution of linked "o";"19430101";39
Distribution of linked "o";"Q242260";39
Distribution of linked "o";"19640101";39
Distribution of linked "o";"Q770740";39
Distribution of linked "o";"Q180845";39
Distribution of linked "o";"Q725367";39
Distribution of linked "o";"Q164334";39
Distribution of linked "o";"Q1023185";39
Distribution of linked "o";"Q987939";39
Distribution of linked "o";"Q1246437";39
Distribution of linked "o";"Q204881";39
Distribution of linked "o";"Q297858";39
Distribution of linked "o";"Q211177";39
Distribution of linked "o";"Q1636019";39
Distribution of linked "o";"Q1628465";39
Distribution of linked "o";"Q2341011";39
Distribution of linked "o";"Q2868235";38
Distribution of linked "o";"Q605756";38
Distribution of linked "o";"Q301332";38
Distribution of linked "o";"Q427446";38
Distribution of linked "o";"Q170105";38
Distribution of linked "o";"Q2663472";38
Distribution of linked "o";"Q13381";38
Distribution of linked "o";"Q8643";38
Distribution of linked "o";"Q219235";38
Distribution of linked "o";"Q978110";38
Distribution of linked "o";"Q216661";38
Distribution of linked "o";"Q865720";38
Distribution of linked "o";"Q1048007";38
Distribution of linked "o";"Q1103135";38
Distribution of linked "o";"Q479351";38
Distribution of linked "o";"Q141882";38
Distribution of linked "o";"Q982889";37
Distribution of linked "o";"Q3873528";37
Distribution of linked "o";"Q220621";37
Distribution of linked "o";"Q2129100";37
Distribution of linked "o";"Q1857213";37
Distribution of linked "o";"Q3873544";37
Distribution of linked "o";"Q219264";37
Distribution of linked "o";"Q378890";37
Distribution of linked "o";"Q753004";37
Distribution of linked "o";"Q385518";37
Distribution of linked "o";"19620101";37
Distribution of linked "o";"Q3590346";37
Distribution of linked "o";"Q759482";37
Distribution of linked "o";"Q48925";37
Distribution of linked "o";"Q1093688";37
Distribution of linked "o";"Q176795";37
Distribution of linked "o";"Q287129";37
Distribution of linked "o";"Q2627402";36
Distribution of linked "o";"Q75684";36
Distribution of linked "o";"Q18662";36
Distribution of linked "o";"19650101";36
Distribution of linked "o";"Q188430";36
Distribution of linked "o";"Q738917";36
Distribution of linked "o";"Q18640";36
Distribution of linked "o";"Q155730";36
Distribution of linked "o";"Q19456";36
Distribution of linked "o";"Q18509";36
Distribution of linked "o";"Q203573";36
Distribution of linked "o";"Q302967";36
Distribution of linked "o";"Q23925713";36
Distribution of linked "o";"Q2622870";36
Distribution of linked "o";"Q642433";36
Distribution of linked "o";"Q1754163";35
Distribution of linked "o";"Q1926260";35
Distribution of linked "o";"Q223620";35
Distribution of linked "o";"Q192253";35
Distribution of linked "o";"Q659212";35
Distribution of linked "o";"Q428047";35
Distribution of linked "o";"Q856179";35
Distribution of linked "o";"Q192873";35
Distribution of linked "o";"Q2442328";35
Distribution of linked "o";"Q19615";35
Distribution of linked "o";"Q1780231";35
Distribution of linked "o";"Q47965";35
Distribution of linked "o";"Q645684";35
Distribution of linked "o";"Q665920";35
Distribution of linked "o";"Q612017";35
Distribution of linked "o";"Q918209";35
Distribution of linked "o";"Q304146";35
